AG;657473;259904
AI;748930;243996
AR;739391;250016
BE;601232;198426
BL;622119;259608
BS;611518;267304
FR;578179;182620
GE;499850;118452
GL;723637;210970
GR;789980;181340
JU;580342;247456
LU;656390;214980
NE;559656;211020
NW;669972;201552
OW;661504;194644
SG;739540;228300
SH;684520;288480
SO;616810;243710
SZ;704360;212320
TG;722850;271680
TI;705160;117100
UR;691904;192928
VD;540400;158200
VS;592869;119810
ZG;681577;224481
ZH;693300;251460
